Approved symbol,UniProt ID(supplied by UniProt),NCBI Gene ID(supplied by NCBI)
CCDC182,A6NF36,101927581
NUPR2,A6NF83,389493
OR6C6,A6NF89,283365
FAM205C,A6NFA0,100129969
TRABD2B,A6NFA1,388630
TMEM235,A6NFC5,283999
OR2W5P,A6NFC9,441932
HELT,A6NFD8,391723
SMCO2,A6NFE2,341346
EFCAB10,A6NFE3,100130771
NAP1L6P,A6NFF2,645996
FABP12,A6NFH5,646486
ZNF316,A6NFI3,100131017
GRXCR2,A6NFK2,643226
RBFOX3,A6NFN3,146713
ANKUB1,A6NFN9,389161
TCAF2,A6NFQ2,285966
DPRX,A6NFQ7,503834
C5orf60,A6NFR6,285679
CFAP73,A6NFT4,387885
FAM187A,A6NFU0,100528020
PGPEP1L,A6NFU8,145814
MFSD2B,A6NFX1,388931
NEMP2,A6NFY4,100131211
SDHAF1,A6NFY7,644096
FAM24A,A6NFZ4,118670
MGAT4D,A6NG13,152586
TMEM202,A6NGA9,338949
TMEM191C,A6NGB0,645426
TMEM221,A6NGB7,100130519
WIPF3,A6NGB9,644150
TLCD2,A6NGC4,727910
ZSCAN5C,A6NGD5,649137
DCAF8L1,A6NGE4,139425
URAD,A6NGE7,646625
C9orf92,A6NGG3,100129385
PCARE,A6NGG8,388939
CCDC160,A6NGH7,347475
ANKRD61,A6NGH8,100310846
TRIM64,A6NGJ6,120146
GAGE10,A6NGK3,102724473
PRAMEF25,A6NGN4,441873
IGLON5,A6NGN9,402665
OOEP,A6NGQ2,441161
MROH6,A6NGR9,642475
ERICH4,A6NGS2,100170765
GGT3P,A6NGU5,2679
LINC01546,A6NGU7,100129464
STRCP1,A6NGW2,554225
FRG2C,A6NGY1,100288801
C5orf52,A6NGY3,100190949
OR51F1,A6NGY5,256892
SMIM9,A6NGZ8,100132963
OR2T8,A6NH00,343172
GLTPD2,A6NH11,388323
DNAJC9-AS1,A6NH13,414245
SERINC4,A6NH21,619189
TVP23A,A6NH52,780776
ARL5C,A6NH57,390790
OR4C46,A6NHA9,119749
CAPN8,A6NHC0,388743
DDTL,A6NHG4,100037417
OR5H14,A6NHG9,403273
ZNF860,A6NHJ4,344787
TUBAL3,A6NHL2,79861
MOXD2P,A6NHM9,100289017
OTOL1,A6NHN0,131149
NPIPB15,A6NHN6,440348
SPDYE2B,A6NHP3,100310812
FBLL1,A6NHQ2,345630
EPOP,A6NHQ4,100170841
FAM47DP,A6NHR8,139249
SMCHD1,A6NHR9,23347
MANSC4,A6NHS7,100287284
HMX3,A6NHT5,340784
CASTOR2,A6NHX0,729438
ANKDD1B,A6NHY2,728780
LRRC14B,A6NHZ5,389257
TRIM64B,A6NI03,642446
MSGN1,A6NI15,343930
ARHGAP42,A6NI28,143872
POTEM,A6NI47,641455
CCDC154,A6NI56,645811
MYMK,A6NI61,389827
NCF1B,A6NI72,654816
LILRA5,A6NI73,353514
CCDC69,A6NI79,26112
GOLGA6L10,A6NI86,647042
CBY3,A6NI87,646019
RRN3P2,A6NIE6,653390
PRSS29P,A6NIE9,123787
UNC119B,A6NIH7,84747
FAM90A20P,A6NIJ5,728430
OR6C70,A6NIJ9,390327
LRRC10B,A6NIK2,390205
CRYM-AS1,A6NIL9,400508
SLC15A5,A6NIM6,729025
RNF227,A6NIN4,284023
AGAP5,A6NIR3,729092
LINC01549,A6NIU2,100505929
LRRIQ4,A6NIV6,344657
WTIP,A6NIX2,126374
SPDYE5,A6NIY4,442590
MBD3L5,A6NJ08,284428
NKX6-3,A6NJ46,157848
NPIPB2,A6NJ64,729978
IGIP,A6NJ69,492311
METTL15,A6NJ78,196074
SAGE2P,A6NJ88,644717
PRR19,A6NJB7,284338
SOWAHD,A6NJG2,347454
ARGFX,A6NJG6,503582
C11orf86,A6NJI1,254439
LRRC72,A6NJI9,100506049
C19orf67,A6NJJ6,646457
ZSCAN5B,A6NJL1,342933
FAM90A8,A6NJQ4,441324
UNCX,A6NJT0,340260
NPIPB13,A6NJU9,613037
FAM166C,A6NJV1,339778
LRRC3C,A6NJW4,100505591
CD8B2,A6NJW9,927
SLC9B1P1,A6NJY1,100128190
TMEM238L,A6NJY4,100289255
OR6C65,A6NJZ3,403282
RIMBP3C,A6NJZ7,150221
TRIM75,A6NK02,391714
ACOD1,A6NK06,730249
GLOD5,A6NK44,392465
ZNF233,A6NK53,353355
LIPT2,A6NK58,387787
